#STN  YY   MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#txt  yr   mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi  hPa    ft
44059 2012 02 24 15 20 250  6.0 10.0    MM    MM    MM  MM 1000.1    MM    MM    MM   MM   MM    MM
44059 2012 02 24 15 10 250  6.0 11.0    MM    MM    MM  MM 1000.2    MM    MM    MM   MM   MM    MM
44059 2012 02 24 15 00 240  7.0 11.0    MM    MM    MM  MM 1000.4  22.0   9.7    MM   MM   MM    MM
44060 2012 02 24 15 45 220  7.0   MM    MM    MM    MM  MM 1005.6   2.1   6.3    MM   MM   MM    MM
44060 2012 02 24 15 30 210  7.0   MM    MM    MM    MM  MM 1006.1   2.0   6.3    MM   MM   MM    MM
44060 2012 02 24 15 15 220  6.0   MM    MM    MM    MM  MM 1006.0   2.4   6.3    MM   MM   MM    MM
44060 2012 02 24 15 00 220  7.0   MM    MM    MM    MM  MM 1005.9   2.5   6.4    MM   MM -0.9    MM
44063 2012 02 24 15 50  MM  0.0  0.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44063 2012 02 24 15 40  MM  0.0  0.0    MM    MM    MM  MM 1002.5    MM    MM    MM   MM   MM    MM
44063 2012 02 24 15 30  MM  0.0  0.0    MM    MM    MM  MM 1002.0    MM    MM    MM   MM   MM    MM
44063 2012 02 24 15 20  MM  0.0  2.0    MM    MM    MM  MM 1002.2    MM    MM    MM   MM   MM    MM
44063 2012 02 24 15 10  MM  0.0  2.0    MM    MM    MM  MM 1002.3    MM    MM    MM   MM   MM    MM
44063 2012 02 24 15 00  MM  0.0  0.0   0.1    MM    MM  MM 1002.6   7.1   6.6    MM   MM   MM    MM
44064 2012 02 24 15 50 250  8.0 10.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44064 2012 02 24 15 30 240  9.0 10.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44064 2012 02 24 15 20 240  8.0 10.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44064 2012 02 24 15 10 240  8.0 10.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44064 2012 02 24 15 00 250  8.0 10.0   0.6     3    MM  MM     MM  17.2   8.4    MM   MM   MM    MM
44065 2012 02 24 15 50  90 13.0 15.0   2.7     7   5.6 116 1001.9   5.9   7.3   4.2   MM -1.8    MM
44067 2012 02 24 15 00 290  2.0   MM    MM    MM    MM  MM  999.9   9.0    MM    MM   MM +0.5    MM
44096 2012 02 24 15 07  MM   MM   MM   0.9     7   4.6 145     MM    MM   8.4    MM   MM   MM    MM
44097 2012 02 24 15 32  MM   MM   MM   1.9     9   5.5 194     MM    MM   8.1    MM   MM   MM    MM
44097 2012 02 24 15 02  MM   MM   MM   1.8    10   5.3 180     MM    MM   8.1    MM   MM   MM    MM
44099 2012 02 24 15 22  MM   MM   MM   1.1     7   4.9 148     MM    MM   8.8    MM   MM   MM    MM
44100 2012 02 24 15 22  MM   MM   MM   1.2     7   5.3 142     MM    MM   9.3    MM   MM   MM    MM
44137 2012 02 24 15 00 270 10.0 12.0   4.1    10    MM  MM 1010.7   5.4   6.0    MM   MM +2.0    MM
44139 2012 02 24 15 00 260 17.0 21.0   5.8    10    MM  MM 1001.2   4.1   3.7    MM   MM +2.2    MM
44140 2012 02 24 15 00 250 12.0 14.0   4.5    12    MM  MM 1006.1  16.1  12.5    MM   MM +2.3    MM
44141 2012 02 24 15 00 270 14.0 18.0   5.1    10    MM  MM 1006.5   5.0   4.8    MM   MM +3.6    MM
44150 2012 02 24 15 00 290  6.0  7.0   2.6     9    MM  MM 1010.8   4.6   6.0    MM   MM +2.0    MM
44172 2012 02 24 15 31  MM   MM   MM   2.5     9   8.0 185     MM    MM   2.2    MM   MM   MM    MM
44172 2012 02 24 15 01  MM   MM   MM   2.2    11   7.6 179     MM    MM   2.2    MM   MM   MM    MM
44255 2012 02 24 15 00 230 11.0   MM    MM    MM    MM  MM  985.9   1.2    MM    MM   MM +1.6    MM
